Parameters : 

                   

populationSize30

maxRules = 50

maxGenerations = 1000

mutationRate = 0.15

bidPercentage = 0.08

rewardAmount = 2.2

repeatCount = 15

taxRate = 0.18

negativeRewardFactor = 0.7

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 29: Condition = 011##1, Action = 1, Strength = 18.9531

Rule 30: Condition = #0#0##, Action = 1, Strength = 15.4966

Rule 31: Condition = ##0#10, Action = 0, Strength = 15.4966

Rule 32: Condition = 0000##, Action = 1, Strength = 18.9531

Rule 33: Condition = 011###, Action = 1, Strength = 18.9531

Rule 34: Condition = ###11#, Action = 1, Strength = 4.81314

Rule 35: Condition = #11###, Action = 0, Strength = 4.81314

Rule 36: Condition = ##0#10, Action = 1, Strength = 8.00001

Rule 37: Condition = #0#0##, Action = 1, Strength = 8.00001

Rule 38: Condition = 100###, Action = 0, Strength = 15.1382

Rule 39: Condition = 000#0#, Action = 1, Strength = 15.1382

Rule 40: Condition = #1#111, Action = 1, Strength = 8.07047

Rule 41: Condition = #01##0, Action = 0, Strength = 8.07047

Rule 42: Condition = 110###, Action = 1, Strength = 10.5734

Rule 43: Condition = ##100#, Action = 0, Strength = 10.5734

Rule 44: Condition = ##1##1, Action = 0, Strength = 9.77104

Rule 45: Condition = 100#0#, Action = 0, Strength = 9.77104

Rule 46: Condition = 01#101, Action = 1, Strength = 18.9531

Rule 47: Condition = #01###, Action = 1, Strength = 18.9531

Rule 48: Condition = 00###1, Action = 1, Strength = 13.6949

Rule 49: Condition = #11#0#, Action = 1, Strength = 13.6949

Rule 50: Condition = 1#1###, Action = 1, Strength = 9.8938


Final Accuracy: 65.625%

Run : 5

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #00#0#, Action = 0, Strength = 18.9531

Rule 2: Condition = 11###0, Action = 0, Strength = 18.0856

Rule 3: Condition = 1###1#, Action = 1, Strength = 16.9228

Rule 4: Condition = #1#11#, Action = 1, Strength = 15.7079

Rule 5: Condition = 01#10#, Action = 1, Strength = 15.5015

Rule 6: Condition = #00##0, Action = 0, Strength = 9.83002

Rule 7: Condition = 11#11#, Action = 0, Strength = 9.83002

Rule 8: Condition = 1##11#, Action = 1, Strength = 11.6002

Rule 9: Condition = #1###1, Action = 0, Strength = 11.6002

Rule 10: Condition = 10####, Action = 1, Strength = 13.5628

Rule 11: Condition = #00#0#, Action = 0, Strength = 13.5628

Rule 12: Condition = 01#101, Action = 1, Strength = 16.7935

Rule 13: Condition = 110##0, Action = 0, Strength = 16.7935

Rule 14: Condition = #0010#, Action = 0, Strength = 16.9046

Rule 15: Condition = ##000#, Action = 0, Strength = 16.9046

Rule 16: Condition = ####01, Action = 0, Strength = 12.5695

Rule 17: Condition = 0##11#, Action = 1, Strength = 12.5695

Rule 18: Condition = #1001#, Action = 1, Strength = 15.8895

Rule 19: Condition = 1###11, Action = 0, Strength = 15.8895

Rule 20: Condition = 1#101#, Action = 1, Strength = 16.9228

Rule 21: Condition = ####1#, Action = 1, Strength = 16.9228

Rule 22: Condition = #0#1##, Action = 0, Strength = 13.129

Rule 23: Condition = 11###0, Action = 0, Strength = 13.129

Rule 24: Condition = 11##1#, Action = 0, Strength = 18.5193

Rule 25: Condition = 000#00, Action = 0, Strength = 18.5193

Rule 26: Condition = #00#11, Action = 0, Strength = 16.9046

Rule 27: Condition = ##000#, Action = 0, Strength = 16.9046

Rule 28: Condition = ####0#, Action = 1, Strength = 7.87604

Rule 29: Condition = 01#01#, Action = 1, Strength = 7.87604

Rule 30: Condition = 1###00, Action = 1, Strength = 16.9228

Rule 31: Condition = 1###1#, Action = 1, Strength = 16.9228

Rule 32: Condition = #####1, Action = 0, Strength = 7.85436

Rule 33: Condition = #0##01, Action = 0, Strength = 7.85436

Rule 34: Condition = ##101#, Action = 0, Strength = 14.8561

Rule 35: Condition = #1001#, Action = 0, Strength = 14.8561

Rule 36: Condition = 11###0, Action = 0, Strength = 17.5042

Rule 37: Condition = 11##1#, Action = 1, Strength = 17.5042

Rule 38: Condition = 11###0, Action = 0, Strength = 17.5042

Rule 39: Condition = 1###1#, Action = 1, Strength = 17.5042

Rule 40: Condition = #1#1#1, Action = 0, Strength = 10.9928

Rule 41: Condition = ###1##, Action = 1, Strength = 10.9928

Rule 42: Condition = 10#110, Action = 0, Strength = 16.8967

Rule 43: Condition = #1####, Action = 1, Strength = 16.8967

Rule 44: Condition = #1####, Action = 1, Strength = 4.21886

Rule 45: Condition = #01##0, Action = 1, Strength = 4.21886

Rule 46: Condition = #0####, Action = 0, Strength = 12.5477

Rule 47: Condition = 1#1#1#, Action = 1, Strength = 12.5477

Rule 48: Condition = #1##00, Action = 0, Strength = 13.7583

Rule 49: Condition = ##0##0, Action = 0, Strength = 13.7583

Rule 50: Condition = #01###, Action = 1, Strength = 4.42533


Final Accuracy: 64.0625%

Run : 6

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 01#1##, Action = 1, Strength = 18.9531

Rule 2: Condition = 11###1, Action = 1, Strength = 18.9531

Rule 3: Condition = #1#0#0, Action = 0, Strength = 18.9531

Rule 4: Condition = 001###, Action = 1, Strength = 18.8032

Rule 5: Condition = 00####, Action = 0, Strength = 17.9079

Rule 6: Condition = 11###1, Action = 0, Strength = 9.91546

Rule 7: Condition = #110#0, Action = 1, Strength = 9.91546

Rule 8: Condition = 0##0##, Action = 1, Strength = 9.3658

Rule 9: Condition = 000##1, Action = 0, Strength = 9.3658

Rule 10: Condition = 00#0##, Action = 0, Strength = 16.7033

Rule 11: Condition = 0110##, Action = 0, Strength = 16.7033

Rule 12: Condition = 01##00, Action = 0, Strength = 15.5008

Rule 13: Condition = 110###, Action = 0, Strength = 15.5008

Rule 14: Condition = #1#0#0, Action = 1, Strength = 8.14429

Rule 15: Condition = #1101#, Action = 0, Strength = 8.14429

Rule 16: Condition = #1#0#0, Action = 0, Strength = 11.9041

Rule 17: Condition = 1####1, Action = 1, Strength = 11.9041

Rule 18: Condition = 01#10#, Action = 0, Strength = 17.2259

Rule 19: Condition = #100#0, Action = 0, Strength = 17.2259

Rule 20: Condition = 11###1, Action = 1, Strength = 11.738

Rule 21: Condition = #0#111, Action = 1, Strength = 11.738

Rule 22: Condition = 01#10#, Action = 1, Strength = 9.72337

Rule 23: Condition = 101##1, Action = 1, Strength = 9.72337

Rule 24: Condition = ###0#0, Action = 1, Strength = 18.9531

Rule 25: Condition = #1#000, Action = 0, Strength = 18.9531

Rule 26: Condition = 01####, Action = 0, Strength = 8.23429

Rule 27: Condition = 11#0#1, Action = 0, Strength = 8.23429

Rule 28: Condition = 010###, Action = 1, Strength = 9.84053

Rule 29: Condition = 001##0, Action = 0, Strength = 9.84053

Rule 30: Condition = 10#1##, Action = 1, Strength = 3.07868

Rule 31: Condition = 001010, Action = 1, Strength = 3.07868

Rule 32: Condition = 11###1, Action = 1, Strength = 17.2259

Rule 33: Condition = 0100#0, Action = 0, Strength = 17.2259

Rule 34: Condition = ##101#, Action = 0, Strength = 18.8782

Rule 35: Condition = 001##0, Action = 1, Strength = 18.8782

Rule 36: Condition = 0#####, Action = 0, Strength = 12.1163

Rule 37: Condition = 11###1, Action = 1, Strength = 12.1163

Rule 38: Condition = 11####, Action = 0, Strength = 17.228

Rule 39: Condition = #1###0, Action = 0, Strength = 17.228

Rule 40: Condition = 001###, Action = 1, Strength = 18.3556

Rule 41: Condition = 01##1#, Action = 0, Strength = 18.3556

Rule 42: Condition = 0###1#, Action = 0, Strength = 9.34888

Rule 43: Condition = 01####, Action = 0, Strength = 9.34888

Rule 44: Condition = #0####, Action = 1, Strength = 18.8032

Rule 45: Condition = 001###, Action = 1, Strength = 18.8032

Rule 46: Condition = 1#10#0, Action = 0, Strength = 11.9041

Rule 47: Condition = #1#010, Action = 1, Strength = 11.9041

Rule 48: Condition = 101###, Action = 1, Strength = 4.48817

Rule 49: Condition = 001##1, Action = 1, Strength = 4.48817

Rule 50: Condition = 1#01#0, Action = 1, Strength = 18.9531


Final Accuracy: 62.5%

Run : 7

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 0#11##, Action = 1, Strength = 18.9531

Rule 2: Condition = 1###11, Action = 1, Strength = 18.9531

Rule 3: Condition = 1###00, Action = 0, Strength = 18.9531

Rule 4: Condition = 0#00##, Action = 0, Strength = 18.9531

Rule 5: Condition = 10##1#, Action = 1, Strength = 15.4978

Rule 6: Condition = ##00#0, Action = 0, Strength = 15.9882

Rule 7: Condition = 0###1#, Action = 1, Strength = 15.9882

Rule 8: Condition = 1#1#00, Action = 0, Strength = 18.9531

Rule 9: Condition = 1#0#00, Action = 0, Strength = 18.9531

Rule 10: Condition = 0#1#00, Action = 0, Strength = 9.09029

Rule 11: Condition = ####01, Action = 0, Strength = 9.09029

Rule 12: Condition = 0#110#, Action = 0, Strength = 11.9236

Rule 13: Condition = 0###1#, Action = 1, Strength = 11.9236

Rule 14: Condition = 100#1#, Action = 1, Strength = 17.2255

Rule 15: Condition = 1#000#, Action = 0, Strength = 17.2255

Rule 16: Condition = 0#00##, Action = 1, Strength = 9.73828

Rule 17: Condition = 0#00#1, Action = 0, Strength = 9.73828

Rule 18: Condition = ##1#01, Action = 0, Strength = 12.0552

Rule 19: Condition = 0###0#, Action = 1, Strength = 12.0552

Rule 20: Condition = 1###01, Action = 1, Strength = 18.9531

Rule 21: Condition = 1####0, Action = 0, Strength = 18.9531

Rule 22: Condition = 0###1#, Action = 0, Strength = 8.95867

Rule 23: Condition = ####10, Action = 0, Strength = 8.95867

Rule 24: Condition = #00#0#, Action = 0, Strength = 14.5274

Rule 25: Condition = 0#00#1, Action = 0, Strength = 14.5274

Rule 26: Condition = 1###00, Action = 1, Strength = 12.0552

Rule 27: Condition = 0#1#11, Action = 1, Strength = 12.0552

Rule 28: Condition = 1#####, Action = 1, Strength = 18.9531

Rule 29: Condition = 011#11, Action = 1, Strength = 18.9531

Rule 30: Condition = 0101##, Action = 0, Strength = 18.9531

Rule 31: Condition = 0#11##, Action = 1, Strength = 18.9531

Rule 32: Condition = 1###10, Action = 0, Strength = 6.76075

Rule 33: Condition = 01##0#, Action = 1, Strength = 6.76075

Rule 34: Condition = 1##1##, Action = 1, Strength = 18.9531

Rule 35: Condition = ##1#0#, Action = 0, Strength = 18.9531

Rule 36: Condition = 0011##, Action = 1, Strength = 15.4485

Rule 37: Condition = #101##, Action = 1, Strength = 15.4485

Rule 38: Condition = 00##11, Action = 1, Strength = 9.83706

Rule 39: Condition = 1###01, Action = 0, Strength = 9.83706

Rule 40: Condition = #101#1, Action = 1, Strength = 15.4485

Rule 41: Condition = 000##0, Action = 1, Strength = 15.4485

Rule 42: Condition = 1###1#, Action = 0, Strength = 17.2255

Rule 43: Condition = #0##11, Action = 0, Strength = 17.2255

Rule 44: Condition = 0###1#, Action = 0, Strength = 14.2605

Rule 45: Condition = #0##10, Action = 0, Strength = 14.2605

Rule 46: Condition = #100##, Action = 0, Strength = 14.5274

Rule 47: Condition = ##0##1, Action = 0, Strength = 14.5274

Rule 48: Condition = 11##01, Action = 0, Strength = 18.9531

Rule 49: Condition = 1###11, Action = 1, Strength = 18.9531

Rule 50: Condition = 0#1101, Action = 0, Strength = 9.97813


Final Accuracy: 57.8125%

